mode: set
altaStore/business/cart/cart.go:46.28,56.2 1 1
altaStore/business/cart/cart.go:64.34,75.2 1 1
altaStore/business/cart/cart.go:82.45,89.2 1 0
altaStore/business/cart/cart.go:92.65,99.2 1 0
altaStore/business/cart/service.go:24.48,28.2 1 1
altaStore/business/cart/service.go:30.64,32.16 2 1
altaStore/business/cart/service.go:36.2,37.16 2 1
altaStore/business/cart/service.go:52.2,53.16 2 1
altaStore/business/cart/service.go:86.2,86.12 1 1
altaStore/business/cart/service.go:32.16,34.3 1 0
altaStore/business/cart/service.go:37.16,45.17 3 1
altaStore/business/cart/service.go:49.3,49.70 1 1
altaStore/business/cart/service.go:45.17,47.4 1 0
altaStore/business/cart/service.go:53.16,54.124 1 0
altaStore/business/cart/service.go:64.3,64.17 1 0
altaStore/business/cart/service.go:54.124,56.4 1 0
altaStore/business/cart/service.go:56.9,57.38 1 0
altaStore/business/cart/service.go:57.38,59.5 1 0
altaStore/business/cart/service.go:59.10,61.5 1 0
altaStore/business/cart/service.go:64.17,66.4 1 0
altaStore/business/cart/service.go:67.8,68.37 1 1
altaStore/business/cart/service.go:68.37,78.18 3 1
altaStore/business/cart/service.go:78.18,80.5 1 0
altaStore/business/cart/service.go:81.9,83.4 1 0
altaStore/business/cart/service.go:89.66,92.16 3 0
altaStore/business/cart/service.go:96.2,98.16 2 0
altaStore/business/cart/service.go:103.2,105.36 2 0
altaStore/business/cart/service.go:109.2,111.20 2 0
altaStore/business/cart/service.go:92.16,94.3 1 0
altaStore/business/cart/service.go:98.16,101.3 2 0
altaStore/business/cart/service.go:105.36,107.3 1 0
altaStore/business/admins/service.go:29.55,33.2 1 1
altaStore/business/admins/service.go:35.82,37.16 2 1
altaStore/business/admins/service.go:41.2,41.25 1 1
altaStore/business/admins/service.go:37.16,40.3 2 1
altaStore/business/admins/service.go:44.85,46.16 2 1
altaStore/business/admins/service.go:50.2,50.20 1 1
altaStore/business/admins/service.go:46.16,49.3 2 1
altaStore/business/admins/service.go:53.77,55.16 2 1
altaStore/business/admins/service.go:59.2,59.20 1 1
altaStore/business/admins/service.go:55.16,58.3 2 1
altaStore/business/admins/service.go:62.86,65.16 2 1
altaStore/business/admins/service.go:69.2,69.19 1 1
altaStore/business/admins/service.go:65.16,68.3 2 1
altaStore/business/admins/service.go:72.88,74.16 2 1
altaStore/business/admins/service.go:79.2,81.16 2 1
altaStore/business/admins/service.go:86.2,87.16 2 1
altaStore/business/admins/service.go:92.2,103.16 4 1
altaStore/business/admins/service.go:107.2,107.12 1 1
altaStore/business/admins/service.go:74.16,77.3 2 1
altaStore/business/admins/service.go:81.16,84.3 2 0
altaStore/business/admins/service.go:87.16,90.3 2 1
altaStore/business/admins/service.go:103.16,106.3 2 1
altaStore/business/admins/service.go:110.114,112.16 2 1
altaStore/business/admins/service.go:117.2,118.16 2 1
altaStore/business/admins/service.go:123.2,123.33 1 1
altaStore/business/admins/service.go:127.2,129.16 3 1
altaStore/business/admins/service.go:133.2,133.12 1 1
altaStore/business/admins/service.go:112.16,115.3 2 1
altaStore/business/admins/service.go:118.16,121.3 2 1
altaStore/business/admins/service.go:123.33,125.3 1 1
altaStore/business/admins/service.go:129.16,132.3 2 0
altaStore/business/admins/admins.go:27.10,39.2 1 1
altaStore/business/admins/admins.go:41.70,53.2 1 1
altaStore/business/products/products.go:24.69,36.2 1 1
altaStore/business/products/products.go:38.110,51.2 1 1
altaStore/business/products/service.go:45.106,50.2 1 1
altaStore/business/products/service.go:52.85,54.16 2 1
altaStore/business/products/service.go:58.2,59.38 2 1
altaStore/business/products/service.go:68.2,68.49 1 1
altaStore/business/products/service.go:54.16,56.3 1 1
altaStore/business/products/service.go:59.38,61.19 2 1
altaStore/business/products/service.go:64.3,65.88 2 1
altaStore/business/products/service.go:61.19,62.12 1 0
altaStore/business/products/service.go:71.76,73.16 2 1
altaStore/business/products/service.go:76.2,78.22 3 1
altaStore/business/products/service.go:73.16,75.3 1 1
altaStore/business/products/service.go:81.116,83.16 2 1
altaStore/business/products/service.go:86.2,88.16 3 1
altaStore/business/products/service.go:92.2,92.22 1 1
altaStore/business/products/service.go:83.16,85.3 1 1
altaStore/business/products/service.go:88.16,90.3 1 1
altaStore/business/products/service.go:95.127,97.16 2 1
altaStore/business/products/service.go:100.2,101.16 2 1
altaStore/business/products/service.go:106.2,106.34 1 1
altaStore/business/products/service.go:110.2,113.16 3 1
altaStore/business/products/service.go:116.2,116.12 1 1
altaStore/business/products/service.go:97.16,99.3 1 1
altaStore/business/products/service.go:101.16,103.3 1 1
altaStore/business/products/service.go:106.34,108.3 1 1
altaStore/business/products/service.go:113.16,115.3 1 1
altaStore/business/products/service.go:119.80,121.16 2 1
altaStore/business/products/service.go:124.2,124.37 1 1
altaStore/business/products/service.go:127.2,128.16 2 1
altaStore/business/products/service.go:131.2,131.12 1 1
altaStore/business/products/service.go:121.16,123.3 1 1
altaStore/business/products/service.go:124.37,126.3 1 1
altaStore/business/products/service.go:128.16,130.3 1 1
altaStore/business/categories/categories.go:19.64,27.2 1 1
altaStore/business/categories/categories.go:29.99,39.2 1 1
altaStore/business/categories/service.go:34.60,38.2 1 1
altaStore/business/categories/service.go:40.103,42.16 2 1
altaStore/business/categories/service.go:45.2,45.18 1 1
altaStore/business/categories/service.go:42.16,44.3 1 1
altaStore/business/categories/service.go:48.125,50.16 2 1
altaStore/business/categories/service.go:53.2,53.18 1 1
altaStore/business/categories/service.go:50.16,52.3 1 1
altaStore/business/categories/service.go:56.109,58.16 2 1
altaStore/business/categories/service.go:62.2,62.35 1 1
altaStore/business/categories/service.go:69.2,69.27 1 1
altaStore/business/categories/service.go:73.2,76.16 4 1
altaStore/business/categories/service.go:79.2,79.12 1 1
altaStore/business/categories/service.go:58.16,60.3 1 1
altaStore/business/categories/service.go:62.35,64.17 2 1
altaStore/business/categories/service.go:64.17,66.4 1 1
altaStore/business/categories/service.go:69.27,71.3 1 0
altaStore/business/categories/service.go:76.16,78.3 1 1
altaStore/business/categories/service.go:82.139,84.16 2 1
altaStore/business/categories/service.go:88.2,89.16 2 1
altaStore/business/categories/service.go:94.2,94.38 1 1
altaStore/business/categories/service.go:98.2,100.16 3 1
altaStore/business/categories/service.go:103.2,103.12 1 1
altaStore/business/categories/service.go:84.16,86.3 1 1
altaStore/business/categories/service.go:89.16,91.3 1 1
altaStore/business/categories/service.go:94.38,96.3 1 1
altaStore/business/categories/service.go:100.16,102.3 1 1
altaStore/business/categories/service.go:106.96,108.16 2 1
altaStore/business/categories/service.go:113.2,113.36 1 1
altaStore/business/categories/service.go:117.2,118.16 2 1
altaStore/business/categories/service.go:121.2,121.12 1 1
altaStore/business/categories/service.go:108.16,110.3 1 0
altaStore/business/categories/service.go:113.36,115.3 1 1
altaStore/business/categories/service.go:118.16,120.3 1 1
altaStore/business/products_images/service.go:12.64,16.2 1 1
altaStore/business/products_images/service.go:18.124,19.28 1 1
altaStore/business/products_images/service.go:26.2,26.12 1 1
altaStore/business/products_images/service.go:19.28,21.17 2 1
altaStore/business/products_images/service.go:21.17,22.12 1 1
altaStore/business/products_images/service.go:29.117,31.16 2 1
altaStore/business/products_images/service.go:36.2,36.30 1 1
altaStore/business/products_images/service.go:40.2,41.16 2 1
altaStore/business/products_images/service.go:45.2,45.12 1 1
altaStore/business/products_images/service.go:31.16,33.3 1 1
altaStore/business/products_images/service.go:36.30,38.3 1 0
altaStore/business/products_images/service.go:41.16,43.3 1 1
